,회의번호,대수,회의구분,회수,차수,회의연도,안건,발언자,발언순번,sent_raw,sent_id
96,41,1,본회의,제1회,제41차,1948,개의,의사국장 차윤홍,8,"반민족행위처벌법(초안) 제1장 죄 제1조 일본 정부와 통모하여 한일합병에 적극 협력한 자, 한국의 주권을 침해하는 조약 또는 문서에 조인한 자 급 모의한 자는 사형 또는 무기형역에 처하고 그 재산의 전부 혹은 일부를 몰수한다.",1
97,41,1,본회의,제1회,제41차,1948,5. 사면법안,법무부차관 권승열,126,그래서 이 사면법은 대체로 그 주권자에 대한 적용이올시다.,2
98,41,1,본회의,제1회,제41차,1948,5. 사면법안,법무부차관 권승열,126,즉 주권이 인민에게 있는 까닭으로 국회가 주권을 가지고 있고 그 권한행사를 법률로서 대통령에게 위임하는 것입니다.,3
99,41,1,본회의,제1회,제41차,1948,5. 사면법안,법무부차관 권승열,126,"그런데 일본 같은 나라에서는 소위 천황이 대권작용이라고 해서 헌법에 제한하지 않는 것은 일본 천황이 마음대로 하는 것이 있어서, 즉 말하면 자기의 구속 안 받는 자기의 당연한 권한이니까 쓴다고 하지만, 우리 민주주의 국가에서는 즉 주권이 재민(在民)하니까 이것을 위임하지 않으면 즉 사면법만 그대로 있고 다른 것이 없을 것 같으면 행정법규 위반이라든지 징계법 위반이라든지 거기에 의해서 자연히 대통령이 못 하게 됩니다.",4
100,43,1,본회의,제1회,제43차,1948,2. 반민족행위처벌법안,윤재욱 의원,41,그런데 헌법 제4조를 보면 대한민국의 주권은 국민에게 있고 모든 권력은 국민으로부터 발동된다고 했읍니다.,5
101,43,1,본회의,제1회,제43차,1948,2. 반민족행위처벌법안,윤재욱 의원,41,"그러면 이 과거의 감정―전 민중의 감정―을 가지고 논의할 법이 아니라 그분들이 감정을 일소시킬 수 있는 이 법을 제정함으로써 앞으로는 헌법 그대로 전 권력은 전 국민에게 있다, 모든 권력은 국민으로부터 발동된다는 이 공명정대한 정신을 받들어 모든 민족이 이 법으로서의 권력을 발동할 수 있고 주권을 취할 수 있는 이러한 기회를 만들어 주지 않으면 안 된다고 봅니다.",6
102,43,1,본회의,제1회,제43차,1948,2. 반민족행위처벌법안,조국현 의원,42,제1조에 「한국의 주권을 침해하는 조약 또는 문서에 조인한 자」이라는 말이 있읍니다.,7
103,44,1,본회의,제1회,제44차,1948,2. 정부내친일파숙청에관한건,윤병구 의원,35,과거 주권이 우리 손에 운영되었을 때에 대부분 지도자가 얼마의 유식(有識)을 가지지 못하고 사대주의 사상에 추수(追隨)하다가 그대로 내려왔읍니다.,8
104,46,1,본회의,제1회,제46차,1948,2. 반민족행위처벌법안,김익노 의원,33,"제1조에 본다고 할 것 같으면 「일본 정부와 통모하여 한일합병에 적극 협력한 자, 한국의 주권을 침해하는 조약 또는 문서에 조인한 자 급 모의한 자는 사형」 「관공리」 중에 포함시켜 가지고 「직위의 고하를 막론하고 직권을 남용하여 동포에게 가해한 죄적이 현저한 자」 이렇게 규정할 것 같으면 상(上)은 칙임관과 하(下)는 판임관까지라도 해당하리라고 보고 있읍니다.",9
105,46,1,본회의,제1회,제46차,1948,2. 반민족행위처벌법안,서이환 의원,49,"칙임관 이상이라고 하더라도 그 시대의 우리의 정부가 없고 주권이 없고 우리 인민이 자유를 가지지 못한 그 시대에 있어 가지고 우리 동포의 심리가 어떻게 되었느냐 하면, 우리 한인으로서 지사에 임명되었으면 환영을 했으며 일인이면 누구나 꺼렸읍니다.",10
106,48,1,본회의,제1회,제48차,1948,1. 반민족행위처벌법안예비수정안심사에관한보고,신익희 의원,8,만일 적이 시키는 대로 적의 국기를 달고 적의 나라를 저의 나라라고 적의 주권자를 만세를 부르고 적의 모든 가지의 기관으로서 설치되어 있는 데에 많이 순종할 뿐만 아니라 늘 친절하고 친근한 관계를 가졌다고 하는 것이라면 이것을 말하되 민족에게 위반되는 행위라고 하겠고 민족으로서 응당 할 일이라고는 보지 못할 것입니다.,11
107,48,1,본회의,제1회,제48차,1948,3. 반민족행위처벌법안,김웅진 의원,15,"(반민족행위처벌법 축조 낭독)  「제1조 일본 정부와 통모(通謀)하여 한일합병에 적극 협력한 자, 한국의 주권을 침해하는 조약 또는 문서에 조인한 자 급 모의한 자는 사형 또는 무기징역에 처하고 그 재산의 전부 혹은 일부를 몰수한다」",12
108,48,1,본회의,제1회,제48차,1948,3. 반민족행위처벌법안,이남규 의원,65,"왜 그러냐 하면 「일본 정부와 통모하여 한일합병에 적극 협력한 자, 한국의 주권을 침해하는 문서에 조인한 자 급 모의한 자는 사형 또는 무기징역에 처하고 그 재산의 전부 혹은 일부를 몰수한다」 했는데 여기 사형에 해당하는 사람은 벌써 하나님이 다 사형에 부쳐서 아마 지금은 없을 것 같습니다.",13
109,51,1,본회의,제1회,제51차,1948,1. 반민족행위처벌법안,이항발 의원,32,나는 한일병합의 전후를 통하여 조국과 민족의 주권을 보장하기 위하여 비장한 혈투의 역사는 역연합니다.,14
110,52,1,본회의,제1회,제52차,1948,2. 반민족행위처벌법안,김중기 의원,18,그러나 조선의 정기를 바로잡고 국권을 세우기 위해서도 외세에 아부하든 사람을 그대로만 보고 있을 수가 없다는 것을 생각한다는 것이 이 법안에 초점입니다.,15
111,52,1,본회의,제1회,제52차,1948,2. 반민족행위처벌법안,원장길 의원,31,"저는 항상 생각하기를 우리가 조국 광복의 그 정신으로만이 끝까지 우리의 주권을 회복할 수 있을 것이요, 우리의 결정(結晶)을 맺어질 수 있을 것입니다.",16
112,56,1,본회의,제1회,제56차,1948,2. 행정권이양에관한국무위원출석요청의건,이성득 의원,69,"오날은 또 지금 여러분이 이런 반대 의사를 많이 가지셨는데 나는 그렇지 않다고 하는 말을 할 것 같으면, 저놈이 정부에 무슨 추파를 주는 것인가 하는 오해를 혹 가지실는지 모르겠읍니다만은 지금 나와서 말하시는 그분은 우리가 물론 주권을 이양하는 데에 있어서 성심성의로서 급한 것을 생각한다고 할 것 같으면 정부에 있어서도 주권 이양을 받는 그 일에 있어서 이보담 더 급하다고 하는 것을 생각해야 될 것이올시다.",17
113,57,1,본회의,제1회,제57차,1948,3. 행정권이양에관한건,국무총리 이범석,18,"우리가 유감 되게도 우리의 원수를 우리의 역량을 발동해서 분쇄해 버리지 못하고 우리의 주권을 이 나라에서 창조하지 못하고 결국 남에게서부터 소위 「카이로」 선언으로 상당한 시기라는 여기에 해당하는 전체를 이양받는 데에, 그러나 이양을 해 주는 것은 주체성적 입장에 있는 것입니다.",18
114,57,1,본회의,제1회,제57차,1948,3. 행정권이양에관한건,국무총리 이범석,18,결코 이것은 주저 넘은 말인지는 모르겠으나 이 사람이 이 나라에 주권을 찾고 거기에 최대한 노력으로서 이 몸을 바칠 것밖에 아무것도 없읍니다.,19
115,57,1,본회의,제1회,제57차,1948,3. 행정권이양에관한건,이문원 의원,28,"이러한 점으로서 어느 정도 안심이 되나 우리는 항상 잊을 수 없는 것은 독립운동이요, 또는 지금 국권이 아직 완전히 회복이 되지 못한 이때인 만큼 국민의 여론을 총집중해서 다소간에 거기에 효과를 100%로 발휘하는 데에 우리 본의가 있었기 때문에 우리는 그리 생각을 한 것입니다.",20
116,57,1,본회의,제1회,제57차,1948,3. 행정권이양에관한건,이문원 의원,28,그러기 때문에 정부로서도 아무리 자신이 있다 할지라도 만일 여하한 형편이 있든지 또는 여론이 필요하다든지 그러한 점으로 보아서 우리는 반다시 우리로서 정부를 협력하며 우리 국권 회복하는 데 도웁기 위해서 우리가 여론을 정당하게 환기하여야 될 것입니다.,21
